"Rider","Horse","Apr Place","Apr Score","Apr Points","Jun Place","Jun Score","Jun Points","Jul Place","Jul Score","Jul Points","Sep Place","Sep Score","Sep Points","Total Shows","Total Points","Class"
"Stephanie Morgan Recktenwald","Scooters Gunslinger","","","","9","68","0.75","","","","","","","1","0.75","NON PRO"
"Joy R Eddards+","Boomernics Cocktail","","","","","0","","","","","","","","1","0","NON PRO"
"Zack Bourn","Trashy Talkin Chic","","","","","0","","","","","","","","1","0","NON PRO"
"Sarai Laney Williamson","Shiner Voodoo Time","1","72","10","1","73.5","10","","","","","","","2","20","INTERMEDIATE NON PRO"
"Juston Palmer","Comin Atcha","2","71","8.5","5","70.5","4.5","","","","","","","2","13","INTERMEDIATE NON PRO"
"Shelly A Withers","AJ Moonshine N Juice","2","71","8.5","","","","","","","","","","1","8.5","INTERMEDIATE NON PRO"
"Sarai Laney Williamson","Sonic Voodoo","4","70.5","7","10","69.5","1","","","","","","","2","8","INTERMEDIATE NON PRO"
"Steve Tyner+","Magnums Little Dream","5","70","6","5","70.5","4.5","","","","","","","2","10.5","INTERMEDIATE NON PRO"
"Juston Palmer","I Am The Boss","6","68.5","5","","","","","","","","","","1","5","INTERMEDIATE NON PRO"
"Peter Lodder+","Freeze N Slide","7","68","4","","","","","","","","","","1","4","INTERMEDIATE NON PRO"
"Nichole Niermeyer","Apollo Icegunya 76","8","67","2.5","11","68","0","","","","","","","2","2.5","INTERMEDIATE NON PRO"
"Robyn L Edwards+","Make My Dayz","8","67","2.5","9","70","2","","","","","","","2","4.5","INTERMEDIATE NON PRO"
"Stefaan Bultinck","LC Luna Star","10","61.5","1","","","","","","","","","","1","1","INTERMEDIATE NON PRO"
"Taylor Ann Anderson","Smart Chic Magnum","","0","","5","70.5","4.5","","","","","","","2","4.5","INTERMEDIATE NON PRO"
"Steve Tyner+","HF Chaching Chaching","","0","","","","","","","","","","","1","0","INTERMEDIATE NON PRO"
"Sadie L Martin","NVR Another Lucky Joe","","0","","","","","","","","","","","1","0","INTERMEDIATE NON PRO"
"Shalyce Jessop","Joe With The Dough","","","","2","73","8.5","","","","","","","1","","INTERMEDIATE NON PRO"
"Jessica Watkins","Striker Chic Shine","","","","2","73","8.5","","","","","","","1","","INTERMEDIATE NON PRO"
"Quincy Manwaring","Xtra Wimped Nay Nay","","","","4","71","7","","","","","","","1","","INTERMEDIATE NON PRO"
"Juston Palmer","SS Old Money","","","","11","68","0","","","","","","","1","","INTERMEDIATE NON PRO"
"Juston Palmer","Fo Sho","","","","14","67","0","","","","","","","1","","INTERMEDIATE NON PRO"
"Sammy J Laird","Sunshine N Whizkie","","","","5","70.5","4.5","","","","","","","1","","INTERMEDIATE NON PRO"
"Stefaan Bultinck","Shesa Smokin Spark","","","","11","68","0","","","","","","","1","","INTERMEDIATE NON PRO"
"Preston J Kent","Gunshine For Chic","1","66","10","1","70.5","10","","","","","","","2","20","STALLIONS GELDINGS OPEN"
"Makenzie Banham","Drako","2","57","9","","","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Mack E Weaver","Apollo Icegunya 76","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS OPEN"
"Mack E Weaver","Spooky Vortex","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS OPEN"
"Kale Shayne Watkins","Trashy Voodoo","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS OPEN"
"Mack E Weaver","Blazed By Magnum","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS OPEN"
"Preston J Kent","Lil Pale Face","","0","","","","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Julie Prows","Mi Scootin Whiz","","","","","","","","","","","","","","","STALLIONS GELDINGS OPEN"
"Bub Poplin","Bump","","","","","0","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Kaleb Kearl","Cat San Boon","","","","2","70","9","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Mack E Weaver","SRV Voodoo Child","","","","","","","","","","","","","","","STALLIONS GELDINGS OPEN"
"Shannon Brach","HF Oakielookinchic","","","","","0","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Preston J Kent","Shiner Voodoo Time","","","","","0","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Trysten K Paskett","Freeezing Reyn","","","","","0","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Matthew McDowell","Surge","","","","","0","","","","","","","","1","","STALLIONS GELDINGS OPEN"
"Kathy Valdez","HF The Freak","1","66.5","10","1","70.5","10","","","","","","","2","20","STALLIONS GELDINGS NON PRO"
"Joy R Eddards+","Boomernics Cocktail","2","65.5","9","2","64.5","9","","","","","","","2","","STALLIONS GELDINGS NON PRO"
"Denielle Maire Jones","Its Vintage Per Se","3","63.5","8","","0","","","","","","","","2","","STALLIONS GELDINGS NON PRO"
"Tristan Jade Moulton","Bad Time in Texas","4","62.5","7","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Dorothy Wolf","Mandolorian","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS NON PRO"
"Juston Palmer","Comin Atcha","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Juston Palmer","I Am The Boss","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Misty D. Palmer","HF Team Dream","","0","","3","61.5","8","","","","","","","2","","STALLIONS GELDINGS NON PRO"
"Jessica Watkins","Striker Chic Shine","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Steve Tyner+","Magnums Little Dream","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS NON PRO"
"Steve Tyner+","HF Chaching Chaching","","0","","","0","","","","","","","","2","","STALLIONS GELDINGS NON PRO"
"Peter Lodder+","Freeze N Slide","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Shelly A Withers","AJ Moonshine N Juice","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Morgan Emma Hansen","Whiz N Stop","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Hadley Thompson","Mighty Montana Nic","","0","","","","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Bub Poplin","LC Up In Smoke","","","","","","","","","","","","","","","STALLIONS GELDINGS NON PRO"
"Ruth Armstrong","Mystic Mac","","","","4","60.5","7","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Kortlyn Brotherson","RL Chic Happens","","","","","0","","","","","","","","1","","STALLIONS GELDINGS NON PRO"
"Glen B Roach+","Alpha Coronalastchic","1","71","10","","","","","","","","","","1","10","MASTERS NON PRO"
"Shalawn F Gerratt","New Leader","2","70.5","9","","","","","","","","","","1","9","MASTERS NON PRO"
"Denise Wilstead+","Gotcha","3","70","8","","","","","","","","","","1","8","MASTERS NON PRO"
"Denise L Dunlap+","LC Still Smokin Em","4","68.5","7","","","","","","","","","","1","7","MASTERS NON PRO"
"Bruce Selk+","Whizful Thinkin","5","67.5","6","","","","","","","","","","1","6","MASTERS NON PRO"
"Claudette Palmer+","Ghost In The Dark","6","66.5","5","","","","","","","","","","1","5","MASTERS NON PRO"
"Peter Lodder+","Freeze N Slide","7","65.5","4","","","","","","","","","","1","4","MASTERS NON PRO"
"Claudette Palmer+","Vintage Wisdom","8","62.5","2.5","","","","","","","","","","1","2.5","MASTERS NON PRO"
"Wesley D Wells","Jessie Smoken Gun","8","62.5","2.5","","","","","","","","","","1","2.5","MASTERS NON PRO"
"Stefaan Bultinck","LC Luna Star","10","61.5","1","","","","","","","","","","1","1","MASTERS NON PRO"
"Arlynn T Kemp+","Electrician","","0","","","","","","","","","","","1","0","MASTERS NON PRO"
"Robyn L Edwards+","Make My Dayz","","0","","","","","","","","","","","1","0","MASTERS NON PRO"
