Group	Draw	Rider	Horse	Classes	Score	Note
Non Pro: Open, Intermediate, Maturity	13	Juston Palmer	Comin Atcha	1:NP 2:INP 3:NP 4:INP		
Non Pro: Open, Intermediate, Maturity	14	Kathryn Hadfield	Shinomatic	5:M4		
Non Pro: Open, Intermediate, Maturity	15	Jason LaBrie	Alpha Fancy Chic	3:NP 4:INP		
Non Pro: Open, Intermediate, Maturity	16	Julie Prows	Mi Scootin Whiz	1:NP 3:NP		
Non Pro: Open, Intermediate, Maturity	17	Nichole Niermeyer	Apollo Icegunya 76	1:NP 2:INP 3:NP 4:INP		
Non Pro: Open, Intermediate, Maturity	18	Jessica Watkins	Striker Chic Shine	1:NP 2:INP 3:NP 4:INP		
Non Pro: Open, Intermediate, Maturity	19	Ali Dances	Almost Irish	4:INP		
Non Pro: Open, Intermediate, Maturity	20	Stephanie Morgan Recktenwald	Scooters Gunslinger	1:NP		
Non Pro: Open, Intermediate, Maturity	21	Robyn L Edwards	Make My Dayz	2:INP 4:INP		
Non Pro: Open, Intermediate, Maturity	22	Peter Lodder	Freeze N Slide	4:INP 5:M4		
Non Pro: Open, Intermediate, Maturity	23	Caroline Brunson	Blazed By Magnum	1:NP 3:NP		
Non Pro: Open, Intermediate, Maturity	24	Kevin Farrell Montgomery	GVG Gunninfrthestars	3:NP 4:INP 5:M4		
Non Pro: Open, Intermediate, Maturity	25	Sammy J Laird	Sunshine N Whizkie	2:INP		
Non Pro: Open, Intermediate, Maturity	26	Steve Tyner	HF Chaching Chaching	1:NP 2:INP 3:NP 4:INP 5:M4		
Non Pro: Open, Intermediate, Maturity	27	Stefaan Bultinck	LC Luna Star			DNPCode=SC — VERIFY
Non Pro: Open, Intermediate, Maturity	28	Sarai Laney Williamson	Sonic Voodoo	1:NP 2:INP 3:NP 4:INP		
Non Pro: Open, Intermediate, Maturity	28	Juston Palmer	SS Old Money	1:NP 2:INP 3:NP 4:INP		
Non Pro: Open, Intermediate, Maturity	29	Shalyce Jessop	Joe With The Dough	2:INP 4:INP 5:M4		
Nov Horse Open: L1, L2	1	Trysten K Paskett	SS Ifrubieswereguns	1:NHOp 2:NHo2 3:L1 4:L2		
Nov Horse Open: L1, L2	2	Preston J Kent	Tine E Dancer	1:NHOp 3:L1		
Nov Horse Open: L1, L2	3	Matthew McDowell	SS Supa Fly	2:NHo2		
Nov Horse Open: L1, L2	4	Maxx Gonzalez	Infernos Lil Secret	3:L1		
Nov Horse Open: L1, L2	5	Trysten K Paskett	Whata Wondrful World	1:NHOp 2:NHo2 3:L1 4:L2		
Nov Horse Open: L1, L2	6	Bub Poplin	I TInk Ya Trashy	3:L1		
Nov Horse Open: L1, L2	7	Preston J Kent	Shining Infernally	1:NHOp 3:L1		
Nov Horse Open: L1, L2	8	Trysten K Paskett	Freeezing Reyn	2:NHo2 3:L1 4:L2		
Nov Horse Open: L1, L2	9	Kale Shayne Watkins	MS Electric Crome	3:L1		
Nov Horse Open: L1, L2	10	Mack E Weaver	SRV Voodoo Child	1:NHOp 2:NHo2 3:L1 4:L2		
Nov Horse Open: L1, L2	11	Matthew McDowell	GPB Smart Voodoo	1:NHOp 2:NHo2 3:L1 4:L2		
Nov Horse Open: L1, L2	12	Preston J Kent	Electric Cocktail	1:NHOp 3:L1		
Nov Horse Open: L1, L2	13	Trysten K Paskett	Mockingbird	1:NHOp 2:NHo2 3:L1 4:L2		
Nov Horse Open: L1, L2	14	Kale Shayne Watkins	Striker Chic Shine	3:L1		
Green Horse: Open, Non Pro	1	Steve T Talbot	Gunna Be Gallant	2:GNP		
Green Horse: Open, Non Pro	2	Trysten K Paskett	Saltee	1:GHO		
Green Horse: Open, Non Pro	3	Maxx Gonzalez	Inferno S On Fire	1:GHO		
Green Horse: Open, Non Pro	4	Ashley Weaver	HA Tricked By Angel	1:GHO		
Green Horse: Open, Non Pro	5	Kale Shayne Watkins	Trashy Voodoo	1:GHO		
